model,Train Strict Accuracy (%),Train ±1 Grade Accuracy (%),Val Strict Accuracy (%),Val ±1 Grade Accuracy (%)
stacking_ensemble_all,69.46,94.49,48.12,83.59
gbm_ensemble_all,80.43,95.13,49.71,83.45
soft_voting_ensemble_set_transformer,66.37,90.81,47.16,83.3
stacking_ensemble_set_transformer,72.54,93.51,49.37,83.83
gbm_ensemble_set_transformer,78.7,94.37,49.66,83.78
soft_voting_ensemble_deepset,45.13,82.68,42.83,80.41
stacking_ensemble_deepset,48.7,84.31,46.54,82.92
gbm_ensemble_deepset,64.77,87.46,45.91,80.85
set_transformer,62.78,90.29,44.13,81.81
deepset,45.15,82.71,42.2,79.88
set_transformer_xy,62.84,90.59,45.24,80.61
deepset_xy,45.76,84.38,43.5,82.1
set_transformer_additive,56.29,86.38,44.61,79.55
deepset_xy_additive,46.53,84.14,43.12,82.58
adaboost_deepset,45.85,83.04,43.89,81.62
adaboost_deepset_xy_additive,46.15,82.42,44.95,80.99
adaboost_deepset_xy,46.53,83.53,44.13,82.15
adaboost_set_transformer,52.35,84.48,46.25,81.33
adaboost_set_transformer_additive,48.99,82.68,46.05,81.14
adaboost_set_transformer_xy,52.25,84.33,46.2,81.42
soft_voting_ensemble_all,62.67,89.77,47.11,83.01
stacking_ensemble_all,69.25,94.77,46.15,82.92
gbm_ensemble_all,80.69,95.54,47.93,82.24
soft_voting_ensemble_set_transformer,66.73,91.74,47.93,82.68
stacking_ensemble_set_transformer,72.39,94.27,46.63,82.63
gbm_ensemble_set_transformer,78.89,94.43,48.51,82.34
soft_voting_ensemble_deepset,45.74,84.12,43.5,81.95
stacking_ensemble_deepset,48.75,84.39,46.73,82.82
gbm_ensemble_deepset,64.57,87.88,46.39,81.09
