Model Type,Train Strict Accuracy (%),Train ±1 Grade Accuracy (%),Val Strict Accuracy (%),Val ±1 Grade Accuracy (%)
deepset,42.8,79.82,42.11,78.39
set_transformer_xy,62.93,89.22,44.66,79.88
deepset_xy,46.77,83.73,44.47,81.81
set_transformer_additive,58.54,88.2,46.87,81.62
deepset_xy_additive,44.47,82.47,43.89,80.94
set_transformer,63.57,89.66,43.89,80.41
deepset,44.15,81.52,43.26,79.84
set_transformer_xy,60.82,87.59,45.77,80.9
deepset_xy,44.82,82.47,43.36,81.09
set_transformer_additive,58.14,87.1,44.85,81.86
deepset_xy_additive,42.14,80.77,41.72,79.45
set_transformer,60.43,87.97,41.48,78.2
deepset,44.9,81.93,43.98,79.74
set_transformer_xy,61.95,88.52,42.78,80.32
deepset_xy,45.37,81.4,43.94,80.32
set_transformer_additive,55.0,86.36,42.54,81.28
deepset_xy_additive,47.0,83.64,44.42,81.28
